Country,Happiness_Rank,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,wind,cloudiness
Afghanistan,153,317.7157523,1831.744397,201.4297963,1.515600142,9.511846032,0.374672645,35.90441697,128.7183596,1.722483226,8.300540073,311.3291432,91.62875592,12.68958352,67.83924585,175.8160177,40.26161137,-0.261351562,14.72469829,21.12032868,31.95010471,11.53330603,-8.311506654,88.15351475,22.67523657,3.9476596,3.432746579,114.2289826
Albania,95,73.83085556,651.8155406,192.1303264,1.89007529,23.3460866,12.80462888,33.16941281,392.5087892,40.08848005,138.15462,1151.097474,38.54662893,138.3346702,159.0460653,435.874661,27.08154903,3.57989578,9.114174371,19.57320594,26.27563639,11.46748679,-0.805912645,62.66851506,19.57741598,5.267449973,2.472693504,181.1311126
Algeria,68,1212.799818,556.7583169,184.9747196,0.170861495,3.690864485,0.17665622,40.29895242,25.29077848,0.934992088,6.088661767,79.45606561,67.08149343,9.5086212,13.36623208,33.29410202,36.49030621,13.15155341,14.8726741,26.92107243,41.54823266,22.96394612,5.057926453,75.11026261,32.45082811,20.8132292,4.025769508,90.67439498
Angola,137,378.2023922,1061.478991,174.2569084,0.19262862,2.794476466,19.87010918,64.33239465,8.054832235,0.260122051,4.430196881,1023.374698,91.53815947,318.5356184,202.1971332,524.28072,21.48916167,18.79351616,13.84524883,18.86688184,31.03791334,21.61187376,9.548751671,18.53581524,23.28857359,22.75898181,2.1644052,187.5170443
Argentina,30,209.2195797,682.7992532,145.0314124,0.623855295,21.9625038,8.83360958,49.85147217,79.08767549,17.18321136,60.48630463,539.8724686,48.32124188,183.1381597,79.21688648,211.7120731,26.77335546,8.023890555,13.461877,11.09496006,28.21618946,14.20719218,1.442833996,47.56007219,20.17116935,16.47762934,4.270904356,159.0065316
Armenia,127,97.29451554,1850.48297,183.5375423,2.31889558,21.33826622,6.992914644,32.42358775,69.67429883,20.00548963,67.22309812,501.6587673,46.50159775,127.1616813,86.25816191,213.784587,34.82842686,-4.557721774,11.43395924,-0.585204815,24.3580566,6.165300484,-10.47037026,81.33372186,16.19943753,9.369815974,1.968252839,191.7616707
Australia,10,845.8680185,278.031714,183.0250431,0.089268073,7.938567206,6.056155479,49.69498141,68.50573359,11.5888329,42.90343014,467.5080881,59.33697509,170.6449075,89.63447645,234.7329262,28.09456395,14.70953766,13.98006739,18.61899367,35.18607871,21.46661781,7.091514759,49.75148677,27.37467162,24.35021582,4.151111283,126.814047
Austria,13,51.98273261,950.5300018,166.5693012,1.450009486,33.00355934,32.26420509,31.6412877,189.4956286,55.60656807,182.0356572,1049.228613,30.45925126,378.5821345,132.7887971,379.5294138,28.32866726,-3.20359507,9.129945086,-1.786864617,20.71571113,5.744182035,-7.612956128,68.33476477,14.332712,14.33018272,2.464692388,231.8576952
Azerbaijan,80,86.63017198,640.067615,127.1189171,1.440853262,36.1450321,7.26719223,28.46190413,85.27931284,16.35000301,61.22073491,453.3004121,39.61666957,98.75768039,68.16092607,174.0463299,33.16762027,1.530183853,9.605681011,13.52841049,29.91985905,11.98962757,-3.247761222,81.0811371,22.22981622,13.54960594,2.662134863,191.1589906
Bangladesh,109,33.64179307,29.93987766,168.6095451,0.032539246,68.13135954,15.61791579,43.39718171,34.11335399,4.761917365,33.83717702,2194.098538,91.06424645,899.0220206,466.0512877,1273.202795,21.97628587,19.85637729,9.626260079,19.98464054,34.05148238,25.52195032,12.07519652,36.12041125,28.64029431,28.32093261,2.450944208,193.4796635
Belarus,59,79.96755058,161.1527381,173.2923657,0.001425672,51.46634046,24.87289447,24.66369688,111.5036568,29.00285832,100.1587811,624.1477146,32.13825942,231.6745382,84.27929349,231.6745382,32.80024705,-5.302794485,8.228642886,-4.201371801,23.07258693,6.244619782,-9.727660114,87.78210573,17.10304917,17.10304917,3.264417738,232.5725082
Belgium,19,14.38772865,143.4574939,218.8503611,0.095365979,60.77621626,15.08315238,33.25148145,213.9997462,56.29171386,183.6450923,850.2047242,11.33182817,223.2043466,83.65095293,239.4220127,22.43083394,2.434042348,7.576101917,5.916118734,21.70531656,9.524934115,-0.725517376,55.15859596,16.43188189,7.706426273,3.876680127,237.9154036
Benin,155,115.203185,267.0421453,178.5135482,0.038044014,25.27925832,7.591677377,66.17602167,477.5927928,2.106208674,14.01108887,1061.151815,91.4909694,146.8737974,228.9515613,605.8449076,18.64316632,25.22161031,12.30368343,26.89236445,37.07765965,27.18634812,18.43449333,16.81105183,29.56815242,25.53463916,2.105127204,212.7378608
Bhutan,79,501.2831596,2860.925351,181.5962121,3.69839397,2.422378376,49.89924223,44.83827454,23.09199808,3.884030065,21.31384028,1509.813029,98.45824111,899.3121647,354.2108031,927.5800655,25.92724723,2.968869514,11.75694965,3.426032233,20.37446473,9.953483074,-5.5527825,50.85974127,15.88991363,15.84082549,2.439829096,226.0796468
Bolivia,51,445.1294159,1290.020607,151.5460077,0.673776684,4.057430677,37.81479768,66.80037321,100.3289284,21.25184485,80.73190543,1148.542962,75.84719717,399.7883094,198.3869959,537.5874644,19.9670824,17.48727964,13.36206436,18.01409928,29.4436478,20.42665376,9.476565399,19.79312791,22.3533214,22.14808196,2.340412545,196.993405
Bosnia and Herzegovina,96,73.43442978,710.1879957,160.8869448,1.352818325,37.55560593,34.44744414,31.8293981,259.0878671,64.49253109,204.1970322,1035.95517,18.59863887,250.6902454,118.8680782,324.2753306,28.60093325,0.079367043,9.273848338,6.244443811,24.59435193,9.072414337,-4.006581323,68.54095609,17.70262402,9.658404543,2.315268423,209.5248489
Botswana,128,386.9066591,1037.202122,162.7331166,0.006235179,1.07768452,1.664163878,55.61239805,4.191613553,0.607268767,3.661472515,395.662629,91.84448933,178.2584237,88.15374399,233.4609667,29.01835157,14.68225261,16.26926335,14.69506112,33.27720865,20.83429281,4.25885708,42.94332097,25.22012517,24.74899882,3.201352424,112.3620914
Brazil,16,736.7297988,326.6430843,176.1375279,0.160652538,17.28233628,39.17523662,72.73447271,366.6266717,39.31327957,141.1717948,1752.792411,60.92778773,370.3704209,277.1211893,761.9858098,15.49870416,22.949019,11.10849971,23.68000754,32.01369408,24.44774936,16.51498992,10.75879482,25.62179487,24.75486118,1.963016907,218.4850954
Bulgaria,134,89.12241274,467.4458679,160.3145198,0.974942029,52.31249667,20.33150418,30.8780721,144.7109976,35.21158416,117.9853496,609.9577203,22.86173738,160.0253417,73.87040381,197.5501549,30.76478929,0.388302493,9.650658468,9.731697266,26.4386379,10.17937835,-4.326151394,74.67946091,19.56625077,13.33011523,2.724887574,191.3499384
Burkina Faso,152,115.863687,302.308181,169.5040491,0.005361851,14.99302949,2.577537442,60.67141261,174.0033395,0.436663109,3.489307969,760.5410968,115.270016,107.6509889,213.8511661,517.2103181,22.10615096,25.6022003,13.47417112,26.03929599,38.81850909,28.0705766,16.71235813,22.10522548,31.17071126,26.76171172,2.838656546,179.2996061
Burundi,157,39.17268404,1514.864442,174.0215411,0.951510393,26.0672288,12.96760933,75.5685994,168.0788491,3.211205212,28.40337912,1179.876143,63.58945156,206.0140488,190.5869617,486.8342401,14.88368883,19.20977961,11.28771463,19.40696156,27.29664706,19.85361429,12.41295822,5.262054098,20.47441599,19.80324239,2.052875048,254.9407547
Cambodia,145,208.420768,120.8669724,172.4292862,0.248564525,33.6764878,31.19662519,59.74402955,100.1566134,5.092721953,36.09367502,1777.848036,78.69420855,330.314187,337.9825859,906.4577975,15.16584909,24.87756641,9.073125778,25.23442451,34.12150007,26.74688604,18.95565098,13.36150325,28.43756505,26.72188071,2.10136841,261.0012052
Cameroon,133,236.3700829,644.7877392,183.0127184,0.372539614,2.974246514,36.37377217,72.52839511,597.453824,16.20490177,69.91608167,1658.456494,73.28117688,309.7400636,299.8997651,781.5772319,15.09928381,23.05818434,10.76404605,24.21842683,32.21069431,24.2571842,17.1114105,10.39589376,25.65909373,23.38480356,1.572129273,253.9292534
Canada,5,3220.715175,508.2847633,169.2907919,0.397220485,3.796340492,20.58747625,19.86286345,80.93746455,19.61225206,66.22098278,453.3184227,46.83796493,161.861002,64.99570701,177.36125,45.96372379,-23.19377971,9.232453946,-19.12040969,16.42866105,-6.83168979,-29.53506274,128.9347833,9.503739868,7.64933066,3.378885862,231.4987023
Chad,149,1223.188455,518.4784022,197.0957927,0.111867953,3.464731883,1.653800711,56.24520918,58.38949101,0.025211448,0.165981669,318.2463704,142.1730058,41.90483877,106.2704283,237.5346067,27.27680539,21.9850421,15.34891981,23.70706342,39.96057589,26.96063198,12.6837705,36.4815226,31.22251018,28.73371816,3.960233834,115.2755415
Chile,27,425.8785883,1095.077168,208.2261466,1.588154415,6.389745666,22.30922269,54.73443945,349.4240795,51.87831519,174.7882393,1047.308761,60.47595362,199.6102916,140.7162405,389.8102221,18.81186342,4.653303611,10.56684351,10.19637446,18.70599026,8.598991694,-0.105873166,30.02173796,12.36452581,7.426599321,3.816059043,183.3299469
China,84,466.566902,1788.508668,169.0981558,0.943246708,22.18347547,11.57931347,30.94554584,34.73668628,8.319758871,30.97523809,561.2715803,89.45302999,291.043886,120.6067701,306.5845506,39.91131351,-7.043608557,12.19498435,-5.765483845,25.19088704,6.362945884,-14.72042648,98.90280353,18.39789749,17.67292216,3.241690663,191.2446609
Colombia,33,1302.412834,555.4002246,171.5702276,0.85329858,5.342935728,48.49222535,81.12976809,855.1970974,85.02041723,323.4854809,2673.855758,42.24338966,459.5920631,353.0768736,968.0703142,11.72748109,23.79082082,9.522903268,24.84909669,30.81827432,24.5855479,19.09079323,5.651496547,25.24422071,24.14380364,1.432076882,283.8555351
Costa Rica,12,151.2790482,540.9757455,157.1371451,1.701519475,13.95479918,47.90479956,77.26496337,762.5741166,63.02243042,235.6442002,2972.137701,57.85796967,528.8857798,457.7499542,1201.438741,12.796143,22.63507097,9.933592432,23.71078986,30.28279279,23.49720366,17.48664979,6.952515557,24.44810799,23.19520002,2.202033163,257.8548585
Croatia,62,42.84249698,302.7346371,162.3116276,0.81320264,41.2065176,27.01030488,31.15807452,237.220638,55.8136886,180.3384883,989.7993826,23.43840906,242.5274129,119.7869352,327.7366852,28.84175799,1.650997259,9.153328956,8.389967256,26.37403478,10.81432567,-2.467723198,69.97395754,19.63106886,13.1811497,2.778315422,202.5172202
Cyprus,67,35.72680074,328.1184149,156.6589443,1.482844022,39.12814434,7.909843282,40.34821341,320.0145024,1.851776584,10.33299413,563.0425329,93.74573607,11.1638429,133.0550673,340.8121148,26.94125442,10.18902567,10.99422975,24.69381448,32.13542148,17.36447268,5.194167089,58.07376434,24.75970753,10.20445548,2.739476007,116.771612
Czech Republic,31,29.95314563,453.474756,172.7331371,0.540671738,58.75520456,23.75361951,30.06045725,113.5782476,33.37087997,106.6853975,663.8282406,36.15609201,254.4987946,89.58786501,254.4987946,27.93825069,-1.875664348,8.541579305,-0.307225938,22.23725008,7.335684228,-5.701000609,69.86437833,16.08160488,16.0801919,3.214086807,239.0239965
Denmark,3,55.21571619,27.27314568,189.6650829,0,65.14572759,10.08375546,26.2894491,144.1528864,37.99040071,124.8205887,726.664688,23.8377144,193.9812303,81.73594013,237.1132796,23.17642778,0.347740766,6.212307843,2.449916541,19.46903452,7.725706147,-3.707393261,59.31481058,15.31885194,10.05404364,4.689150577,239.0802897
Dominican Republic,98,84.63166597,390.7448721,150.4320351,1.233995077,13.11648455,30.03822157,73.97827408,198.5753543,50.72255926,169.9065123,1374.256129,43.53939876,404.0385804,198.6648491,494.5256069,15.07701995,21.99939479,11.23462733,22.39586362,31.11438981,23.85193282,16.03736985,12.80974529,25.2607528,24.56711335,2.271360008,182.418162
Ecuador,48,418.5928682,1074.129068,174.7428113,1.483501622,13.37099737,44.43037577,83.88679155,453.4632883,94.4789649,312.2000804,2058.090786,48.92946608,629.6383067,281.9882582,780.9635326,11.61225517,20.17676425,9.803834199,20.70714284,26.88464222,20.91201294,15.27238704,5.276301051,21.48616325,21.00741272,1.591968975,283.2677106
Egypt,135,954.9943764,301.3547095,173.8262149,0.181041694,4.472106509,0.220351628,47.98018289,8.009986995,3.09E-04,0.020844349,14.16166365,44.88697198,0.266930866,3.757425514,8.928621964,30.94329147,13.87405966,15.0457614,20.07583686,36.65638365,21.98671382,5.71309218,58.57499418,28.72933306,16.98408231,3.87529339,50.35722873
El Salvador,42,43.05423723,425.1313018,178.8349981,1.324855428,19.64871736,32.41779931,75.58885687,211.9509475,2.611128914,13.44670766,1834.018769,92.18448372,256.9175724,372.3066815,958.3367839,16.05228563,23.42993292,12.20527781,23.87937202,32.68612814,24.3949217,16.63384254,8.196055426,25.5583293,24.19272945,1.816505662,199.3710925
Ethiopia,122,245.5052467,1257.42189,178.387662,0.98482426,20.5313116,8.030340277,72.69171436,243.2648211,7.18869316,32.71384165,798.8404956,92.49157431,168.0527075,179.4839723,432.123357,19.22559408,21.1976747,14.00397725,22.06489784,32.60142099,22.73800117,13.37582691,12.51256338,24.33742825,22.88589602,2.75535275,170.8787202
France,29,33.47989499,332.7033344,193.6696859,0.4876818,60.81734756,16.57887294,36.35683052,212.7542769,49.29561429,167.243407,815.3169197,16.24585135,190.292132,87.78252232,241.8379305,24.18465052,3.363004716,8.911717973,11.21873032,23.82572999,10.4765834,-0.358920537,55.37162365,17.54758348,9.638482112,3.36922225,213.4126825
