,bc001,bc002,bc003,bc004,bc005,bc006,bc007,bc008,bc009,bc010,bc011,bc012,bc013,bc014,bc015,bc016,bc017,bc018,bc019,bc020,bc021,bc022,bc023,bc024,bc025,bc026,bc027,bc028,bc029,bc030,bc031,bc032,bc033,bc034,bc035,bc036,bc037
Bach.Arrau.1,1,2,1,2,3,1,1,3,1,1,2,2,2,2,3,1,1,2,1,3,3,3,1,1,1,1,1,1,2,3,1,1,1,3,3,1,2
Bach.Arrau.2,2,1,1,2,3,1,1,2,1,1,2,3,1,3,2,3,2,3,1,1,1,2,2,3,2,2,3,3,2,3,3,1,2,3,3,3,1
Bach.Arrau.3,1,3,2,1,1,1,2,2,3,3,3,2,3,2,1,3,1,1,1,1,3,1,3,1,1,1,3,3,1,2,2,3,3,3,1,1,1
Bach.Baren.4,1,3,2,2,2,1,2,3,1,1,3,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,3,3,1,3,1,3,3,3,1,1,1
Bach.Baren.5,1,1,2,3,3,3,3,3,1,2,2,2,3,3,1,3,1,3,1,3,2,1,1,3,3,1,3,1,2,1,1,2,3,1,3,3,3
Bach.Baren.6,1,3,3,2,3,1,2,1,3,1,3,2,3,1,2,2,3,2,1,2,1,1,3,3,1,1,2,2,1,3,3,3,3,3,1,1,2
Bach.Pires.7,1,2,3,3,2,3,1,3,3,1,2,1,3,3,2,3,1,3,3,3,1,3,2,1,2,3,1,3,1,1,1,2,3,1,3,3,1
Bach.Pires.8,2,3,1,2,3,1,2,2,1,3,1,3,2,2,3,2,2,2,2,2,3,2,1,1,1,2,2,2,3,3,2,2,2,3,2,1,3
Bach.Pires.9,1,3,2,1,3,3,1,2,2,2,1,2,1,3,2,3,3,3,1,2,1,2,2,1,3,2,3,1,1,1,1,1,2,1,3,3,1
Bach.Richt.10,2,1,1,3,2,2,2,2,2,3,1,3,2,1,3,2,2,2,2,1,2,3,2,2,3,3,2,3,3,2,2,1,1,2,2,1,3
Bach.Richt.11,3,3,3,2,1,3,1,3,3,1,3,3,3,2,2,2,3,1,3,2,1,1,3,1,2,2,1,1,2,3,1,3,3,2,1,2,2
Bach.Richt.12,2,1,1,1,1,2,3,3,3,3,1,3,2,1,3,2,1,2,2,1,2,3,3,2,3,2,2,3,3,2,3,1,1,2,2,1,2
Beet.Arrau.13,1,2,2,2,3,1,2,1,1,2,2,3,1,2,2,1,1,2,3,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,1,1,1
Beet.Arrau.14,3,2,3,3,1,3,1,1,2,1,3,1,3,3,2,2,3,3,3,3,3,2,1,1,2,1,1,2,1,1,3,3,3,1,1,2,1
Beet.Arrau.15,3,2,3,1,2,2,1,1,2,3,3,2,1,1,3,2,1,1,3,1,2,1,1,3,3,3,1,2,3,3,1,3,2,3,1,1,1
Beet.Baren.16,1,3,3,3,2,3,2,1,2,1,3,1,3,1,1,1,1,3,3,1,3,2,3,3,3,1,1,3,3,3,3,3,3,2,1,2,2
